6250, 1.5, -5, 0.5437, 0.3611, 0.2448, -0.0951, 1.815, -1.7361, 0.6444
6500, 1.5, -5, 0.5927, 0.4937, 0.1327, 0.205, 0.2696, 0.4701, -0.2908
6750, 1.5, -5, 0.582, 0.4653, 0.1563, 0.1885, 0.3655, 0.3543, -0.2597
7000, 1.5, -5, 0.5712, 0.4406, 0.175, 0.1578, 0.5644, 0.0516, -0.1299
7250, 1.5, -5, 0.5576, 0.4068, 0.202, 0.1394, 0.7468, -0.2339, -0.0119
7500, 1.5, -5, 0.5411, 0.3672, 0.233, 0.1316, 0.9079, -0.4995, 0.0962
7750, 1.5, -5, 0.5236, 0.3313, 0.2577, 0.1459, 0.999, -0.6966, 0.1841
8000, 1.5, -5, 0.5073, 0.3032, 0.2735, 0.1832, 0.9957, -0.7805, 0.2306
8500, 1.5, -5, 0.4824, 0.2712, 0.2831, 0.2916, 0.7892, -0.6663, 0.2096
9000, 1.5, -5, 0.4702, 0.2613, 0.2799, 0.3782, 0.549, -0.4322, 0.1269
3500, 2, -5, 0.5512, 0.3483, 0.272, -0.1514, 1.7126, -1.2917, 0.3523
3750, 2, -5, 0.5074, 0.2546, 0.3387, -0.0776, 1.9445, -1.881, 0.6364
4000, 2, -5, 0.5408, 0.348, 0.2584, -0.0257, 1.6129, -1.4732, 0.5216
4250, 2, -5, 0.5634, 0.3772, 0.2495, -0.3374, 2.4632, -2.3823, 0.8752
4500, 2, -5, 0.5639, 0.3692, 0.2609, -0.4557, 2.9511, -3.0456, 1.1657
4750, 2, -5, 0.5647, 0.3686, 0.2628, -0.4498, 2.9743, -3.1026, 1.1971
5000, 2, -5, 0.5641, 0.3703, 0.2597, -0.3817, 2.7832, -2.897, 1.1211
5250, 2, -5, 0.5618, 0.3697, 0.2575, -0.3269, 2.6115, -2.6977, 1.0416
5500, 2, -5, 0.5572, 0.3662, 0.2561, -0.272, 2.4426, -2.5072, 0.9659
5750, 2, -5, 0.5504, 0.3578, 0.2582, -0.2366, 2.3515, -2.4211, 0.9339
6000, 2, -5, 0.5417, 0.345, 0.2636, -0.2167, 2.306, -2.3834, 0.9173
6250, 2, -5, 0.5326, 0.3303, 0.2711, -0.1912, 2.2071, -2.2462, 0.8479
