TICID,RAdeg,DEdeg,ELON,ELAT,Priority,2min-target,Camera,Obslen,Num-sectors,Vmag,Kmag,Tmag,Star-radius,Star-mass,Distance,Subgiant,Detected,Detected-cons,Planet-period,Planet-radius,Ntransits,Ars,Ecc,Rprs,Impact,Duration,Depth-obs,Insol,Noise-level,SNR
3886296,10.6825234268,-7.78932498361,6.7126800000000015,-11.38505344,0.000638407721896,0,1,27.4,1,15.464,11.663,13.751,0.561,0.608,,0,1,1,8.903368460227776,5.8953523229254285,3,27.309315453726324,0.05189225994921162,0.09620668541244612,0.3362806140343589,2.5994316404600877,9206.182251505768,12.186649974645892,2136.664532287848,12.032144946527904
3898497,11.4122041748,-9.90600343511,6.52247184,-13.61342119,0.00169365501283,0,1,27.4,1,13.362,10.052999999999999,11.862,1.34214,0.64706595426,,1,1,1,2.2002441955210017,7.216286175145817,13,4.589533424487198,0.016195015134831733,0.0492237023957709,0.7146316598285998,2.8630364577717167,2399.3946698946825,578.3907496599826,568.6317993394205,25.742792863112264
3958932,12.5272703212,-6.74703803595,8.84722239,-11.15555691,0.000948932109741,0,1,27.4,1,13.225999999999999,10.978,12.18,0.867217,0.841307101846,,0,1,0,11.822694069662314,19.439606344573683,2,23.78323649864493,0.1265155888463898,0.20521921973920265,0.09597552878058063,4.564353438654929,41861.7902101913,47.81053454019817,696.8234903646138,181.50961908286672
40081742,6.989876368200001,-11.8787315502,1.61479561,-13.66389281,0.00101901163469,0,1,27.4,1,12.994000000000002,10.888,12.097000000000001,0.8597790000000001,0.834449921949,,0,1,1,6.995948493276504,8.051368561782494,4,16.862187447618698,0.04315140219500797,0.08573165799946117,0.32655925656757695,3.2845835264894876,7349.912553732975,93.2415712616032,660.2913040127767,40.34751068081025
10506521,28.6228093623,64.7931556695,55.6538014,48.50057359,0.0005491968626880001,0,2,54.8,2,8.795,7.404,8.235,1.07892,1.4257600000000001,72.6315157202,0,1,1,3.759818246067273,4.034581522442444,15,10.618757840938347,0.10454177270592632,0.0342347846345981,0.6355090946750762,2.214332330712213,1155.2219584230675,749.9273115353942,98.4603555845996,67.61936149355287
80260761,7.307011826519999,-43.1290091276,345.53232708,-41.61739102,0.00151424215803,0,2,27.4,1,11.989,9.923,10.954,0.930774,0.850942,214.753535445,0,1,0,13.66701694470892,3.0009495368588888,2,24.500473794136724,0.02976291785767685,0.029517039592793882,0.3749531294728279,4.087454487766847,857.3651638120655,62.590843237657666,332.48209121562,7.372911803050061
80262344,7.612832000000001,-46.184368,343.5306930000001,-44.307818,0.00681388737156,1,2,27.4,1,13.468,8.892999999999997,11.06,0.4,0.41600000000000004,,0,1,0,10.768502444514846,2.28920966413878,2,38.3128310015104,0.04602877387253942,0.05239428618797632,0.6927683819658783,1.701434358610829,2731.9586521198376,4.3726573064224725,352.83436378193636,14.283210715178063
11568274,19.8664031855,-27.5662292796,6.31811523,-32.98481344,0.00128838842691,0,2,27.4,1,10.599,9.579,10.219,1.4856200000000002,1.33849247717,,0,1,1,3.0485695499570684,21.127101639143245,9,6.565954922710415,0.02039219888096648,0.13019386889403511,0.5410207166581332,3.544874458212262,15318.091258639612,1743.1646495086522,225.25016535657417,384.11495698493985
11569594,19.9661102341,-28.8085214414,5.74324249,-34.13439779,0.0024502803072700002,1,2,27.4,1,11.29,9.441,10.619000000000002,1.7371299999999998,0.925916,134.47779087700002,1,1,1,4.128944256120628,5.202170634186075,7,6.079303235726206,0.15660871374147953,0.027416412217838342,0.7727417554494419,3.562435536462771,722.4116081132788,927.4326432177504,277.06155531556834,13.020599335898279
11652749,22.2440028073,-28.2453273188,8.21484027,-34.53058315,0.000879306249886,0,2,27.4,1,12.002,10.549000000000001,11.359000000000002,2.66012,1.06017,362.723185278,1,1,1,6.365991638076847,11.031536474338797,4,5.542906703795508,0.27986869483256954,0.03796584981977191,0.0565959316288294,9.148398577934067,1416.068734814151,1604.2829308564176,419.1039640362976,20.439256796343347
